Tomato Plum ||| $1.29 / lb ||| $1.99 / lb
Herr's Potato Chips Hot Sauce Ripple, 1 Oz ||| 3 for $2.00 ||| $0.75
Lemons ||| 4 for $2.00 ||| $0.89
Persian Cucumbers Package ||| 2 for $5.00 ||| $2.99
Mango ||| 2 for $3.00 ||| $1.99
Wise Onion Rings, 0.5 Oz ||| 4 for $1.79 ||| $0.50
Red/Purple Onion ||| $1.29 / lb ||| $1.99 / lb
Orange 56 Medium, 56 Oz ||| 3 for $3.00 ||| $1.19
Orange 113 Sm ||| 3 for $2.00 ||| $0.79
Honey Crisp Apple ||| $1.99 / lb ||| $2.79 / lb
Nectarines Yellow Lb ||| $1.99 / lb ||| $2.69 / lb
Herr's Potato Chips Ketchup, 1 Oz ||| 3 for $2.00 ||| $0.75
Wise Potato Chips Original, 0.75 Oz ||| 4 for $1.79 ||| $0.50
Wise Dipsy Doodles Original, 0.875 Oz ||| 4 for $1.79 ||| $0.50
Scallions Bunch ||| 5 for $2.00 ||| $0.79
Pepper Yellow Holland ||| $1.79 / lb ||| $2.79 / lb
Wise Chips, Honey BBQ, 0.75 Oz ||| 4 for $1.79 ||| $0.50
Herr's Pretzels, Extra Thin, 1.5 Oz ||| 3 for $2.00 ||| $0.75
Herr's Potato Chips Red Hot, 1 Oz ||| 3 for $2.00 ||| $0.75
Matamim Lite Corn Pops, 0.5 Oz ||| 5 for $2.00 ||| $0.49
Matamim Corn Pops, 0.5 Oz ||| 5 for $2.00 ||| $0.49
Gesher Snow Flakes Bbq, 0.75 Oz ||| 5 for $3.99 ||| $0.89
Cherries Lb ||| $3.99 / lb ||| $5.99 / lb
Osem Bissli Bbq Small Snack Bag, 1.23 Oz ||| 4 for $3.00 ||| $0.79
Gold's Duck Sauce Sweet N Sour, 40 Oz ||| $3.99 ||| $4.99
Snapple Diet Peach, 16 Oz ||| 3 for $5.00 ||| $1.99
Osem Bissli Pizza, 1.23 Oz ||| 4 for $3.00 ||| $0.79
Gesher Snow Flakes Onion Garlic, 0.75 Oz ||| 5 for $3.99 ||| $0.89
Wise Deli Kettle Jalapeno Potato Chips, 0.75 0z ||| 4 for $1.79 ||| $0.50
Gatorade Fruit Punch, 28 OZ ||| 2 for $5.00 ||| $2.99
Osem Bissli Onion Flavor, 1.23 OZ ||| 4 for $3.00 ||| $0.79
Gatorade Cool Blue, 28 OZ ||| 2 for $5.00 ||| $2.99
Sweet Potato Fries 24oz ||| $4.99 / each ||| $5.99
Snapple Diet Tea Raspberry, 16 Oz ||| 3 for $5.00 ||| $1.99
Snapple Tea Raspberry, 16 Oz ||| 3 for $5.00 ||| $1.99
Golden Fluff Popcorn Original, 0.75 Oz ||| 4 for $2.00 ||| $0.55
Sweet Potato Cubes 24oz ||| $4.99 / each ||| $5.99
Snapple Iced Tea Peach, 16 Oz ||| 3 for $5.00 ||| $1.99
Snapple Kiwi Strawberry, 16 Oz ||| 3 for $5.00 ||| $1.99
Gefen Olive Oil Extra Light, 33.8 Oz ||| $9.99 ||| $10.99
Keebler Mini Pie Crust 6 Ct, 4 Oz ||| $2.99 / each ||| $3.49
Paskesz Trios Original Chocolate Sandwich Cookies, 1.6 Oz ||| $0.99 ||| $1.25
Paskesz Nosh-Kes Barbecue Twirls, 1.05 Oz ||| 4 for $2.29 ||| $0.65
Klein's Naturals Granola Dark Chocolate, 12 Oz ||| $4.99 ||| $5.75
Paskesz Twiggs Corn Snacks Bbq, 1 Oz ||| 4 for $2.29 ||| $0.65
Paskesz Black Licorice Sticks, 4 Oz ||| $1.99 / each ||| $2.49
Paskesz Sour Sticks Apple Flavored, 3.5 Oz ||| $1.99 / each ||| $2.49
Paskesz Noshkes Falafel Crisps, 1.2 Oz ||| 4 for $2.29 ||| $0.65
Norman's Yogurt Poppers Chocolate Granola, 5.3 Oz ||| $0.99 ||| $1.65
Gefen Angel Hair Sphagetti, 16 Oz ||| $1.29 ||| $2.29
Reisman's Sugar Kichel Family Pack 13oz ||| $7.99 ||| $10.99
Zohar Salt Vinegar Cartwheels, 0.5 OZ ||| 5 for $3.99 ||| $0.85
Paskesz Sour Sticks Pink Lemonade, 3.5 Oz ||| $1.99 / each ||| $2.49
Paskesz Nosh-Kes Onion Rings , 1.05 Oz ||| 4 for $2.29 ||| $0.65
Zetov Remix Bissli 1.05 Oz ||| 3 for $2.00 ||| $0.69
Meal Mart Beef Franks Hot Dogs, 40 Oz ||| $15.99 ||| $24.99
Golden Fluff Popcorn Small Hot N' Spicy, 0.75 Oz ||| 4 for $2.00 ||| $0.55
Salt & Pepper Kugel ||| $3.99 / each ||| $5.49
Matamim Corn Pops Bbq, 0.5 Oz ||| 3 for $1.49 ||| $0.59
Paskesz Trumpets Bbq Snacks, 0.5 Oz ||| 4 for $2.29 ||| $0.59
Pam Grilling Spray, 5 OZ ||| $3.99 ||| $6.49
Made Good Granola Minis Strawberry, 4.25 Oz ||| $2.99 ||| $4.49
Bloom's Freeze Pops, 144 Ct ||| $10.99 ||| $12.99
Paskesz Sour Stix Mix, 2 Oz ||| $1.99 / each ||| $2.49
Klein's Natural Granola, 12 Oz ||| $4.99 ||| $5.75
Bloom's Freeze A Pop Captain Cool, 100 Ct ||| $11.99 ||| $13.99
Paskesz Nosh-Kes Pizza Snack, 1.05 Oz ||| 4 for $2.29 ||| $0.65
Poland Spring Water Bottles, Mini, 8 Oz, 12 Pk ||| 2 for $7.00 ||| $3.99
Paskesz Wafer Rolls Eclair, 1.25 Oz ||| $0.99 / each ||| $1.79
Paskesz Twiggs Onion Corn Snacks, 1 Oz ||| 4 for $2.29 ||| $0.65
Paskesz Trumpets Corn Snacks Original, 0.5 Oz ||| 4 for $2.29 ||| $0.59
Jolly Rancher Ropes Watermelon + Green Apple Candy, 10 Oz ||| $3.99 ||| $4.99
Paskesz Twiggs Corn Snacks Pizza, 1 Oz ||| 4 for $2.29 ||| $0.65
Paskesz Noshkes Ketchup Snacks, 1.05 Oz ||| 4 for $2.29 ||| $0.65
Zohar Onion Garlic Cartwheels, 0.5 OZ ||| 5 for $3.99 ||| $0.85
Made Good Chocolate Drizzled Cookie Crumble Granola Bar, 5 Pk ||| $2.99 ||| $5.49
Jolly Rancher Ropes Blue Raspberry + Cherry Candy, 10 Oz ||| $3.99 ||| $4.99
Kemach Pancake Mix 3 Pack, 15.9 Oz ||| $3.49 ||| $4.49
Wise Dipsy Doodles Bbq Flavored Corn Chips, 0.75 Oz ||| 4 for $1.79 ||| $0.50
Sizgit Gusto Corn Puffs, 0.7 Oz ||| 3 for $2.00 ||| $0.87
Jonny Pops Organic Blue Wave Ice Pop, 14.8 Oz ||| $5.99 ||| $7.99
Jonny Pops Organic Summer Sunrise Pop 1.85 Oz, 8 Ct ||| $5.99 ||| $7.99
Jonny Pops Cotton Candy Cloud Ice Pop, 14.8 Oz ||| $5.99 ||| $7.99
Jonny Pops Organic Rainbow Fruit Stacks, 14.8 Oz ||| $5.99 ||| $7.99
Jonny Pops Organic Tropical Paradise Punch Ice Pop, 14.8 Oz ||| $5.99 ||| $7.99
Simple Pancake Batter Dairy, 32 Oz ||| $5.99 ||| $8.99
Paskesz Dibbitz Candy Wild Raspberry, 4 Oz ||| $1.99 ||| $2.99
Paskesz Twiggs Corn Snack Falafel, 1 OZ ||| 4 for $2.29 ||| $0.65
Zohar Hot Spicy Cartwheels, 0.5 OZ ||| 5 for $3.99 ||| $0.85
Reeses Plant Based Mini Cups, 1.4 Oz ||| $8.99 / each ||| $9.99
Fried Eggplant & Tehina ||| $3.99 / each ||| $6.99
Del Monte Pinkglow Pineapple, 1 Ct ||| 2 for $5.00 ||| $9.99
Fruit Riot Sour Grapes, 8 Oz ||| $5.99 ||| $8.99
Fruit Riot Mix Sour Grapes, 8 Oz ||| $5.99 ||| $8.99
Fruit Riot Sour Mango, 8 Oz ||| $5.99 ||| $8.99
Fruit Riot Sour Pineapple, 8 Oz ||| $5.99 ||| $8.99
Sushi Sandwich ||| $14.99 ||| $17.99
Vip Roll ||| $9.99 ||| $14.99
Sour Punch Assorted Bites ||| $2.99 / each ||| $3.99
Laffy Taffy Mini Family Bag, 22 Oz ||| $9.99 ||| $14.99
Dots Gummies Peg Bag, 8 Oz ||| $2.99 ||| $3.49
Dole Acai Bowl Original, 6 Oz ||| $2.99 ||| $4.99
Dole Acai Bowl Protein, 6 Oz ||| $2.99 ||| $4.99
Fruit Riot Crunchy Candy Blueberries ||| $5.99 ||| $8.99
