Yellow Potatoes, 5Lb Bag ||| $4.99 / each |||
Dole Carrots Cello California, 16 Oz ||| $1.19 / each |||
Wise Dipsy Doodles Original, 0.875 Oz ||| 4 for $1.79 ||| $0.50
Poland Spring Spring Water Gallon, 1 Gal ||| $2.29 |||
Gevina Greek Whole Milk Vanilla Yogur, 5.3 Oz ||| 2 for $3.00 |||
Osem Bamba Snack Family Pk .7 Oz, 8 Pk ||| $7.99 |||
Zohar Cart Wheels Original, 0.5 Oz ||| 5 for $3.99 ||| $0.85
Polar Cranberry Lime Seltzer, 33.8 Oz ||| 3 for $3.00 |||
Paskesz Chips A Plenty Soft & Chewy, 13 Oz ||| $7.49 |||
Shibolim Whole Wheat Knockers Everything, 6. Oz ||| $3.49 |||
Beleaves Mini Cauliflower Florets, 24 Oz ||| $6.99 / each ||| $8.99
Mehadrin Krispy Yogurt Vanilla Crunch Flakes, 5.3 Oz ||| 3 for $5.00 |||
Beleaf Broccoli Florets Frozen, 24 Oz ||| $6.99 / each ||| $8.99
Tomato Plum ||| $1.99 / lb |||
Jetfoil Muffin Aluminum Foil, 4 Ct ||| $1.79 |||
Dole Cole Slaw, 14 Oz ||| $3.49 / each |||
String Beans Lb ||| $2.79 / lb |||
Tirat Zvi Oven Roasted Turkey Breast Thinnies, 6.5 Oz ||| $6.99 |||
Flaum's Sour Pickles Family Pack, 52 Oz ||| $6.99 |||
Gefen Hearts Of Palm Whole , 14.1 Oz ||| $3.49 / each |||
Green Giant Yukon Gold Potatoes 5 Lb ||| $5.99 / each |||
Plastic House Deli Containers, 32 Oz 15 Ct ||| $4.49 |||
Bloom's Pop' Mmm Cookies, 30 Pk ||| $9.99 |||
Herr's Potato Chips Red Hot, 1 Oz ||| 3 for $2.00 ||| $0.75
Zohar Onion Garlic Cartwheels, 0.5 OZ ||| 5 for $3.99 ||| $0.85
Jolly Rancher Ropes Blue Raspberry + Cherry Candy, 10 Oz ||| $3.99 ||| $4.99
Elite Turkish Coffee With Cardamom, 3.5 Oz ||| $2.49 ||| $3.99
Kemach Pancake Mix 3 Pack, 15.9 Oz ||| $3.49 ||| $4.49
Classic Coconut Cream ||| $3.49 ||| $3.99
Wise Dipsy Doodles Bbq Flavored Corn Chips, 0.75 Oz ||| 4 for $1.79 ||| $0.50
Sizgit Gusto Corn Puffs, 0.7 Oz ||| 3 for $2.00 ||| $0.87
Paskesz Clic Clak Fun Size, 5.3 Oz ||| $2.99 ||| $3.99
Roland Lite Unsweetened Coconut Milk, 14 Oz ||| $1.99 ||| $2.99
Paskesz Twiggs Hot And Sour, 1 Oz ||| 4 for $2.29 ||| $0.65
Zohar Cart Wheels Tomato Flavor, 0.5 OZ ||| 5 for $3.99 ||| $0.85
L'hava 3 Day Memorial Candle Glass, 1 Ct ||| $1.99 ||| $3.49
