Quarter Seedless Watermelon ||| $0.79 / lb ||| $1.19 / lb
Pizza On The 9 18" Pizza, 8 Slices ||| $8.99 ||| $14.49
Sizgit Gusto Corn Puffs, 0.7 Oz ||| $0.79 ||| $0.99
Red Pepper ||| $1.49 / lb ||| $2.99 / lb
Pepper Holland Red ||| $1.49 / lb ||| $2.99 / lb
Pepper Orange ||| $1.49 / lb ||| $2.99 / lb
Lieber's Snackers, 428 Gr ||| $3.49 ||| $4.79
Norman's Greek Pro+ Plain Yogurt, 5.3 Oz ||| 3 for $4.00 ||| $1.99
Norman's Greek Pro+ Vanilla Bean Yogurt, 5.3 Oz ||| 3 for $4.00 ||| $1.99
Saladmate Lite Nish Nosh Dressing, No Sugar, 11 Oz ||| $4.99 ||| $6.49
Plum Tomatoes ||| $0.99 / lb ||| $1.49 / lb
Norman's Greek Pro+ with Live Probiotics Superfruit Yogurt, 5.3 Oz ||| 3 for $4.00 ||| $1.99
Gefen Chunk Light Tuna In Water, 6 Oz ||| $1.99 ||| $2.19
Norman's Greek Pro+ Roast Coffee Yogurt, 5.3 Oz ||| 3 for $4.00 ||| $1.99
Gefen Pearl Barley, 16 Oz ||| $1.19 / each ||| $1.69
First Cut Brisket - Weissmandl ||| $10.99 / lb ||| $12.99 / lb
Flaum Smoked Nova Lox, 6 Oz ||| $8.99 ||| $11.19
Norman's Greek Pro+ Strawberry Yogurt, 5.3 Oz ||| 3 for $4.00 ||| $1.99
Gefen Chili Lime Tacoroos Rolled Tortilla Chips, 1 Oz ||| $0.79 ||| $0.99
Weinz Yummy Bites Vanilla Mini Sandwich Cookies, 2 Oz ||| $0.69 ||| $0.89
Weinz Yummy Bites Mini Chocolate Sandwich Cookies, 2 Oz ||| $0.69 ||| $0.89
Fleishman's Beef Kielbasa ||| $9.99 ||| $10.99
Kleenex Tissue ||| 10 for $28.99 ||| $3.29
Y&S Twizzlers Bits Cherry, 16 Oz ||| $3.99 ||| $6.39
Cuisine White 12 Oz Plastic Bowls, 100 Ct ||| $2.99 ||| $3.19
Avocado C ||| $0.89 / each ||| $1.49
Gefen Cultivated Whole Hearts Of Palm, 14.1 Oz ||| $2.19 ||| $3.49
Fleishman's Beef Franks, 13 Oz ||| $6.89 ||| $7.59
Kedem Grape Juice Concord Glass, 50.7 Oz ||| $6.29 ||| $6.49
Sizgit Mashke Water, 1.5 Ltr ||| 12 for $11.88 ||| $1.29
Heaven & Earth Veggie Sticks Mix, 1 Oz ||| $0.79 ||| $0.99
Fleishman's Finest Beef Franks, 13 Oz ||| $6.89 ||| $7.59
Gefen Classic Italian Pizza Sauce, 26 Oz ||| 2 for $5.00 ||| $3.99
